id,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,rooms,squareFootage,lotSize,yearBuilt,lastSaleDate,lastSaleAmount,priorSaleDate,priorSaleAmount,estimated_value
184297242,4900 W 17th Ave,Denver,CO,80204,39.743753,-105.050089,3,4,7,2778,3626,2015,2/8/2017,1092500,7/15/2015,600000,1106045
51294023,776 S Gaylord St,Denver,CO,80209,39.702468,-104.961409,4,5,10,3373,6250,2015,2/25/2016,1750000,4/15/2015,0,1986442
51087540,2330 Jasmine St,Denver,CO,80207,39.751665,-104.918452,4,5,9,3003,6250,2015,9/9/2016,1285000,3/3/2015,400000,1349536
184743342,520 Steele St,Denver,CO,80206,39.724565,-104.949456,2,5,7,4427,6250,2015,1/6/2017,2673000,2/10/2015,760000,2768924
251527407,3035 N Race St,Denver,CO,80205,39.76012,-104.963459,4,4,9,2825,5292,2015,7/13/2016,659000,1/12/2015,175000,846144
11586745,677 S Williams St,Denver,CO,80209,39.704279,-104.966658,3,5,10,2912,4680,2015,3/29/2016,1380000,12/30/2014,532000,1544826
184308926,2547 N Emerson St,Denver,CO,80205,39.754143,-104.976095,3,3,6,2474,3120,2015,3/17/2017,820000,12/22/2014,199000,699497
49716702,726 S York St,Denver,CO,80209,39.703307,-104.960243,3,5,10,2872,4690,2015,2/26/2016,1185000,9/26/2014,403000,1737934
184294616,2060 Jasmine St,Denver,CO,80207,39.748634,-104.918416,4,5,8,3148,6250,2015,1/29/2016,1300000,9/25/2014,390000,1481842
184748382,3726 N Gilpin St,Denver,CO,80205,39.769126,-104.967158,4,3,7,1783,3120,2015,7/22/2015,485000,9/22/2014,80000,477699
184300396,464 S Gaylord St,Denver,CO,80209,39.708066,-104.961392,3,6,10,3867,6240,2015,2/29/2016,2230000,7/28/2014,675000,2519664
184306097,560 S Race St,Denver,CO,80209,39.706331,-104.963699,4,5,10,3096,4680,2015,10/20/2015,1380000,7/2/2014,510000,1751164
184283545,2391 Grape St,Denver,CO,80207,39.752689,-104.924927,4,4,8,2891,6250,2015,12/16/2015,1175000,5/30/2014,270000,1352704
141593429,2325 N Glencoe St,Denver,CO,80207,39.751528,-104.926103,3,4,8,3038,6250,2015,12/17/2015,1150000,3/10/2014,310000,1336125
30659933,2946 N Williams St,Denver,CO,80205,39.75887,-104.965927,3,3,7,1957,3120,2015,10/23/2015,569500,7/5/2011,17500,390771
42992728,419 S Race St,Denver,CO,80209,39.708884,-104.964338,4,5,10,3138,6240,2015,5/5/2015,685000,8/31/2009,474000,1151819
51153654,1093 S York St,Denver,CO,80209,39.696742,-104.960902,3,6,10,3362,6300,2015,3/26/2013,475000,2/9/2009,413000,1839176
28612942,340 S Gaylord St,Denver,CO,80209,39.710278,-104.961387,4,5,9,3142,6240,2015,5/23/2011,587500,10/27/2008,593450,1915062
24062032,2291 Cherry St,Denver,CO,80207,39.750879,-104.934246,4,5,7,3750,6000,2015,8/17/2016,1400000,8/4/2008,265000,1464035
7652681,408 S Franklin St,Denver,CO,80209,39.709074,-104.968369,3,5,8,3367,5060,2015,4/21/2014,513486,8/22/2007,435000,709102
30566405,876 S Williams St,Denver,CO,80209,39.700646,-104.966016,3,1,8,3394,6250,2015,3/18/2014,675000,5/11/2006,511000,869769
39526279,825 S Gilpin St,Denver,CO,80209,39.701605,-104.967826,3,2,10,3925,7190,2015,12/17/2014,750000,6/28/2004,572500,1678336
46228063,480 S High St,Denver,CO,80209,39.707791,-104.964857,3,2,10,3609,6240,2015,3/26/2014,617500,5/29/2002,387500,1167731
51083782,860 S Steele St,Denver,CO,80209,39.700856,-104.949661,5,5,10,5134,18100,2015,12/11/2014,1508000,3/4/1999,935000,1998959
184283575,2374 Hudson St,Denver,CO,80207,39.752421,-104.923145,4,1,7,1412,6250,1924,5/31/2017,405000,,108100,501150
184743335,660 Saint Paul St,Denver,CO,80206,39.726752,-104.950597,3,1,6,1639,6250,1920,5/31/2017,500000,,140200,696355
17944198,653 Newton St,Denver,CO,80204,39.727676,-105.037612,3,2,7,1302,5960,1947,5/30/2017,247000,,,364855
54131550,3530 Niagara St,Denver,CO,80207,39.766322,-104.910286,2,2,4,946,7500,1952,5/26/2017,478500,,52700,447263
320948074,3650 N Adams St,Denver,CO,80205,,,4,4,7,2826,4690,2016,5/23/2017,735000,,,745537
184188787,2035 Rosemary St,Denver,CO,80207,39.748189,-104.900237,2,1,4,808,8100,1950,5/22/2017,335000,,50300,360471
1789667,3735 N Saint Paul St,Denver,CO,80205,39.768781,-104.951532,3,1,5,982,9370,1949,5/19/2017,310000,,46100,358177
251009285,2832 Dexter St,Denver,CO,80207,39.7572,-104.93249,2,2,5,1354,5950,1928,5/18/2017,595092,,,597103
219388909,3816 E 11th Ave,Denver,CO,80206,39.733468,-104.942466,2,1,4,911,2052,1921,5/18/2017,420000,,,417916
184801445,2840 Leyden St,Denver,CO,80207,39.757403,-104.914847,2,2,4,1152,7500,1947,5/17/2017,330000,,66900,421277
184285442,3300 N Elizabeth St,Denver,CO,80205,39.763398,-104.955721,3,2,5,1515,6640,1952,5/16/2017,10625300,,64500,443985
184778961,781 Madison St,Denver,CO,80206,39.728863,-104.946502,3,1,6,1325,4460,1923,5/12/2017,300000,,95800,630582
251007293,3260 Curtis St,Denver,CO,80205,39.762787,-104.974265,3,3,7,1578,2990,1884,5/10/2017,565500,,,567948
21441443,630 Quitman St,Denver,CO,80204,39.726934,-105.040224,2,2,4,784,6260,1947,5/9/2017,253950,,52300,370836
52850804,3436 N Clayton St,Denver,CO,80205,39.765188,-104.954489,2,1,4,634,6560,1926,5/9/2017,245000,,42300,303175
184719661,1071 S Corona St,Denver,CO,80209,39.697102,-104.974904,3,2,7,1800,6340,1922,5/2/2017,700000,,129600,710473
151943080,2895 Eudora St,Denver,CO,80207,39.758214,-104.930874,3,2,5,1053,6250,1951,4/27/2017,425000,,52900,555838
